loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income
nM8aw0XU-G4eo,PERSONAL,C,15000,13.11,0,0.34
PO1kHAdl-Q1Cx,PERSONAL,D,5200,17.27,1,0.11
Mh86lgdd-escG,DEBTCONSOLIDATION,B,5500,8.88,0,0.18
hLl52cBX-CLQu,PERSONAL,C,,,0,0.09
FPPLX46v-pkpN,education,A,12000,7.88,0,0.24
Gp5fEk7E-QoKF,DEBTCONSOLIDATION,B,10000,11.86,0,0.14
0FnGTKz3-d83L,education,A,7225,6.92,0,0.25
JcYUy7qe-L0zH,EDUCATION,B,5100,11.89,0,0.18
kab0495J-bIZF,VENTURE,A,8000,7.88,0,0.11
nOgHcOPh-igy4,personal,B,3600,10.99,1,0.04
KT60QWpY-bPT6,VENTURE,A,16000,7.49,0,0.26
ufwa5BWT-mt0w,EDUCATION,B,13000,10.75,1,0.33
FTGxI6WJ-qY4G,PERSONAL,C,8000,13.23,0,0.06
tRui0dYG-rLok,VENTURE,B,5875,12.69,0,0.15
vTuvtyiw-S7Y2,venture,A,3000,6.91,0,0.11
YrOinsdR-5KR3,education,A,7500,,1,0.21
z6brSQe4-snYF,MEDICAL,B,6000,11.11,0,0.1
pqqadT5Y-wDfU,MEDICAL,A,6000,6.03,0,0.07
aaGbBjHn-krcg,medical,A,15000,6.54,0,0.19
RfqE9iOL-699g,EDUCATION,B,6000,10.25,0,0.1
LTfB3cOY-YUwf,MEDICAL,B,7200,11.71,1,0.27
gQOYLZxK-DyKz,VENTURE,B,12000,9.91,0,0.19
IaOyF3Ws-Qrd4,education,A,15000,6.99,0,0.17
78iuirmR-Me9y,,C,25000,15.27,0,0.3
pidx869U-ZWDv,education,B,24000,10.74,1,0.32
M6yftoxm-3EeX,VENTURE,E,12000,16.77,0,0.07
cJMAMt5k-ybPZ,venture,B,7500,10.51,0,0.18
NRNKsI3j-vy1N,MEDICAL,B,9600,10.99,0,0.11
Fw2psII0-QW3n,HOMEIMPROVEMENT,B,11225,11.14,0,0.21
A5LFFryU-ncGy,MEDICAL,B,20000,,0,0.21
pt79cITK-vkOu,HOMEIMPROVEMENT,A,2500,5.42,0,0.06
nKCPP7TZ-N0Dd,EDUCATION,D,5000,14.11,1,0.13
KAKdUnZT-iDXJ,homeimprovement,A,5000,7.74,0,0.06
IbJrHXGG-EOGU,venture,B,5000,10.25,0,0.13
8wGvGt7P-hOqu,education,B,7750,10.38,1,0.14
IPYfHYiN-63jz,homeimprovement,C,4800,14.72,0,0.1
od8H684N-22T8,HOMEIMPROVEMENT,D,9000,15.65,1,0.17
qO1T9C2A-pkDg,venture,C,4750,15.27,1,0.1
eywBfwY0-DOPu,venture,B,20000,10.74,0,0.37
bqikDm84-fSMv,EDUCATION,A,15000,6.03,0,0.08
0qmPOcWd-upAO,PERSONAL,A,15000,6.03,0,0.08
0GiR4hx6-WIKg,VENTURE,C,4000,13.92,0,0.16
EC4dhaLp-6Ouc,VENTURE,C,7000,12.68,0,0.17
HDDIIANC-ylui,homeimprovement,B,18000,,0,0.26
D4BUGsxd-s4XE,EDUCATION,B,3000,9.99,0,0.1
dURK7JPe-sfd9,medical,A,9000,7.49,0,0.25
m8q3mqt9-E40Z,education,C,8500,12.87,0,0.21
vXa2Id3v-p7Na,personal,B,4000,10.37,0,0.06
0OIYb7tD-0b6F,MEDICAL,B,16800,,0,0.18
voawhJDG-fymb,venture,C,8000,13.11,0,0.15
ddoYoKLK-0nW8,VENTURE,A,12000,7.9,0,0.17
R3ywT0eq-KWzg,personal,B,6000,10.37,0,0.2
EM27KFOI-3CCU,DEBTCONSOLIDATION,C,5000,12.99,1,0.2
2UU7B58e-vR3X,EDUCATION,C,,14.83,0,
y4fQ5IAh-1sQ6,MEDICAL,A,10000,9.07,0,0.16
WhXlHEZM-MrWk,PERSONAL,D,14400,15.05,1,0.39
G4aQGjkT-XDho,EDUCATION,A,10000,7.51,0,0.22
31pIPRcF-vR2t,education,A,2500,8.59,0,0.03
eCCUm4lB-ZCO3,VENTURE,A,5500,7.88,0,0.09
6RS2SzYu-bfZy,DEBTCONSOLIDATION,B,13000,11.14,0,0.22
YReCH8hl-WAO5,personal,C,9000,13.49,0,0.14
PW1aCD99-hnlI,medical,B,8500,,0,0.11
3njLAxAG-l38M,medical,A,3000,8.9,0,0.07
labyCFbn-eoW1,medical,A,11000,7.49,0,0.2
MEvEQyy3-mpWc,HOMEIMPROVEMENT,C,21600,13.92,0,0.23
dK6WhLbX-U79A,VENTURE,E,8000,19.42,0,0.16
AMEq6ttv-OZFx,debtconsolidation,A,6000,6.99,0,0.05
126fAzmb-C4dA,DEBTCONSOLIDATION,A,10000,9.63,1,0.27
ixGcpaNT-7bbv,debtconsolidation,B,7000,,0,0.14
x6X4FDui-Y6RC,EDUCATION,B,19600,12.42,0,0.26
FzdRYAhj-Htvt,HOMEIMPROVEMENT,B,10000,11.99,0,0.05
GPFE0xo7-aLK5,homeimprovement,D,2500,16.77,1,0.07
FD8tLF5K-PBsh,education,B,3150,6.0,0,0.03
9EkYY9AA-Wchm,debtconsolidation,A,6000,,1,0.31
W80GHQGW-bQrU,medical,B,4000,11.89,1,0.06
PNYuXsHk-IjM9,venture,A,3000,6.39,0,0.02
XUKd8XlH-fkc6,,A,2500,10.36,0,0.04
gxLYAhOY-2MRJ,PERSONAL,B,12000,10.62,0,0.2
udh0h5Xn-a8Zy,MEDICAL,D,9400,15.62,1,0.05
zHiM1sIL-0uDF,PERSONAL,B,6075,,0,0.25
qJ6TX1nI-RgWe,PERSONAL,A,4000,7.49,0,0.17
Mq5Xggjr-53Tl,HOMEIMPROVEMENT,B,11200,,0,0.14
ZiEA30Qq-x26c,EDUCATION,E,7750,,0,0.26
i6h4fZbR-kula,medical,C,7200,12.61,0,0.23
sE1Rgz5F-mQES,debtconsolidation,C,9000,12.87,0,0.13
uWJe6NYA-N31j,EDUCATION,C,15000,15.27,1,0.23
h9keC921-oUL6,DEBTCONSOLIDATION,,7000,11.71,0,0.08
ioHvMx10-hMeX,DEBTCONSOLIDATION,B,5500,11.99,0,0.07
d2FWpaJQ-1fgF,medical,A,6000,7.29,0,0.09
zM1yhqaY-aRIa,DEBTCONSOLIDATION,B,24000,11.83,0,0.38
iU4IyNdS-Kx2f,DEBTCONSOLIDATION,A,12000,8.49,1,0.36
48589fGO-5TvS,EDUCATION,C,8000,13.92,0,0.13
T0zRUDEg-uxBK,DEBTCONSOLIDATION,A,20000,6.54,0,0.22
AXTGEing-MNLA,venture,B,13250,10.37,1,0.55
wkwyTmZG-8kcb,medical,B,12400,11.26,0,0.28
Pe3TTAQ0-Dg3f,DEBTCONSOLIDATION,A,15000,7.9,0,0.17
OcmSK894-rXlq,education,B,7000,10.65,1,0.39
n7X6BpfM-eOUS,PERSONAL,A,6000,8.9,0,0.18
8aLFoCeO-htZj,MEDICAL,C,15000,12.73,0,0.15
qZsxkmOA-yZpm,medical,A,7750,7.88,0,0.34
yWXCj2fs-8k5l,venture,A,12000,7.29,0,0.15
maYJaRcO-Rfe5,venture,B,6150,12.21,0,0.21
kvlEDZ66-AYJv,EDUCATION,A,5000,6.99,0,0.13
5LdvzsYR-9Wq6,homeimprovement,B,8000,11.14,0,0.14
syEAdO7x-EOad,personal,C,35000,14.27,0,0.28
0SspyLlq-UH5c,DEBTCONSOLIDATION,A,14000,7.51,1,0.39
KNMM4Qyy-ayjc,,C,5600,,0,0.14
0dfI0oUw-xf6Y,MEDICAL,C,2400,13.49,1,0.04
JI2HwBJw-mz5H,PERSONAL,A,14000,7.66,0,0.16
4o3t8e36-oNRy,personal,A,1225,5.79,0,0.03
Jg40Wg5l-hD4b,venture,A,6450,5.99,0,0.05
lmg7ywOU-8iE5,VENTURE,A,5000,8.49,0,0.05
8PSvHN6H-WyQd,PERSONAL,A,10625,8.49,0,0.17
W7AYKC2E-a1bY,venture,A,7500,7.51,0,0.08
tWxTjM2E-zCA6,EDUCATION,A,22000,7.51,0,0.19
MneB5zXy-bqLh,venture,B,6000,9.7,0,0.15
LWou7fAl-3cj1,education,A,6000,8.9,0,0.16
chmXHpSk-PAIy,MEDICAL,A,17475,7.66,1,0.5
Q858Yfef-1lWK,venture,A,7500,7.9,0,0.22
8YXbjPYF-Rqm6,EDUCATION,B,7000,11.86,0,0.29
6vQQpMEO-aJ9p,VENTURE,A,5800,7.43,0,0.14
8vnvzkco-X2YX,PERSONAL,D,30000,15.99,1,0.33
Be0Qzm8o-sb2f,debtconsolidation,A,13000,8.9,0,0.12
9wz2GWk3-knDh,personal,B,10000,11.86,0,0.13
EgO5IATD-WFT2,education,B,5000,11.99,1,0.04
GhazuYeL-8QH9,venture,A,10000,7.51,0,0.12
tDGJAwDa-aYC3,venture,A,11050,5.42,0,0.23
1uaWwYBS-wFy9,VENTURE,C,2000,14.22,0,0.1
pWsDtl7N-HrZe,education,C,4800,13.61,0,0.15
1ZFMm91q-q9to,MEDICAL,B,12000,,0,0.18
mbT7iKb4-9EXK,education,C,7500,11.03,0,0.1
yr2df52L-C7Eq,personal,A,5575,6.62,0,0.19
JDrvwGt0-tk80,homeimprovement,A,3200,7.37,0,0.09
21Y2asZ0-b2nv,medical,B,6500,10.65,0,0.14
KIrqRh7p-lnNx,PERSONAL,A,6000,5.42,0,0.07
oX0NJiYG-u8AM,DEBTCONSOLIDATION,C,8000,14.26,0,0.21
q9X6ipUo-W4vf,MEDICAL,C,19000,13.49,0,0.17
qMuXEKkj-MTpJ,VENTURE,A,12000,7.49,1,0.33
v2vGhAeA-lu8k,HOMEIMPROVEMENT,B,5000,11.58,0,0.08
Y5AryHb4-eDAj,VENTURE,A,9000,7.88,0,0.13
bQB3J2pT-wltZ,medical,C,5600,13.23,1,0.17
HOg0NGbK-siBC,VENTURE,B,15850,11.11,0,0.26
LYmiZEs8-5Mgb,PERSONAL,B,6000,11.89,0,0.12
M3XN1cYM-3ei8,homeimprovement,C,15000,13.23,0,0.38
X8ST4tbc-jor5,VENTURE,C,5000,14.22,0,0.05
FpFmSIfM-Fyey,MEDICAL,A,10000,5.99,0,0.25
G1JBCWCt-q5y5,VENTURE,B,5000,11.49,1,0.42
wMInvzw2-BHSK,DEBTCONSOLIDATION,B,24250,11.83,0,0.14
QoBRUPUt-wNeI,debtconsolidation,A,5000,7.74,0,0.07
JYr4f1wB-iOSj,DEBTCONSOLIDATION,B,6000,8.88,0,0.06
WG9ZF8DP-R4O8,MEDICAL,C,14125,12.99,1,0.47
YY2Y3b0f-kTS2,medical,C,9000,14.65,0,0.2
ic6cpzzH-LEN0,education,B,29800,10.65,0,0.48
qnSsM0k9-gyot,EDUCATION,A,4000,7.66,0,0.04
pWi18Slu-Nukv,PERSONAL,B,9000,10.65,0,0.09
jRzEskAt-vgxh,VENTURE,B,6000,11.36,0,0.08
8iOqDmIF-tLRm,homeimprovement,C,20000,12.84,0,0.27
hRGQmCAP-Hied,MEDICAL,C,7600,13.49,0,0.1
ElDlqbEB-6Msp,medical,A,10000,7.51,1,0.32
gmQLyHhS-ZKzc,HOMEIMPROVEMENT,A,8000,6.99,0,0.15
wpviscKM-E4C7,EDUCATION,A,10000,9.63,1,0.13
xOfrFbm0-sBkM,EDUCATION,A,8500,8.94,0,0.17
E4tjbfdr-NDA0,education,C,4500,12.99,0,0.19
0gUli7mQ-QUA5,MEDICAL,B,12000,12.21,0,0.26
ZKN7Gu0D-z4nz,DEBTCONSOLIDATION,F,7200,18.53,1,0.09
69EotXAG-RX15,VENTURE,A,7475,5.42,0,0.18
IJEA0wlr-LQBx,EDUCATION,B,14000,11.49,0,0.31
jEntHGys-HrKA,venture,B,8000,11.11,0,0.3
qFCnfFZH-dpax,medical,A,10000,8.49,0,0.3
9ahU9Ue5-qLGS,personal,A,9250,7.51,0,0.13
JvUjgE1x-g475,venture,D,4200,15.31,1,0.14
1qdSSg0w-Bs38,education,B,4000,11.14,1,0.07
O818OxY6-4ewR,medical,C,4600,13.99,1,0.1
rkp3KI3i-FDHJ,homeimprovement,C,12000,12.09,0,0.18
TZ20WkGB-fguc,MEDICAL,D,16000,6.03,0,0.13
WsdK5ggf-YDRH,DEBTCONSOLIDATION,A,15350,6.17,0,0.2
SUtsvjmy-6Tzp,EDUCATION,B,9100,10.95,0,0.11
Gev4Um4A-rFiv,debtconsolidation,A,12125,,0,0.29
tBdDLGU7-iuf6,debtconsolidation,B,7000,12.42,0,0.19
mCZj56Gf-ojSq,MEDICAL,B,3000,10.01,0,0.05
dGBORnlG-Om1S,MEDICAL,B,20000,12.21,0,0.17
EHSUpSMO-2vpy,homeimprovement,B,3500,10.65,0,0.06
AwaHldTW-i6uI,VENTURE,A,3500,6.39,0,0.05
nTyU7YCo-sbSi,DEBTCONSOLIDATION,A,7500,8.32,0,0.07
9kbfXZw4-Zpu8,DEBTCONSOLIDATION,,25000,13.43,0,0.17
nHJWcBpw-s2um,medical,B,12875,,1,0.37
7F2v9Uvc-oJoT,EDUCATION,B,3000,10.14,0,0.03
ziW4U5v1-Gigj,venture,B,6400,11.14,0,0.3
nfkMS7Jl-QlqA,DEBTCONSOLIDATION,A,5050,5.42,0,0.07
n7Bclyay-uqXv,MEDICAL,B,8500,12.21,0,0.13
UqXw0WID-xhFl,VENTURE,A,5000,7.51,0,0.2
GmzIXjKn-HTor,MEDICAL,A,18000,6.99,0,0.12
69aK4mIg-vOE8,debtconsolidation,B,12000,11.99,0,0.11
27CCdp34-nZT0,,B,1400,16.77,1,0.07
kBjlPFJ3-9ETn,education,C,1600,,0,0.07
8lKGTz7T-iUbJ,medical,A,1600,9.32,0,0.05
f8lj6ApL-7xCK,EDUCATION,C,8000,12.53,0,0.24
y3BfxT2n-bhd5,DEBTCONSOLIDATION,B,4800,11.49,1,0.08
wl9GCRNw-qW44,VENTURE,A,17000,,0,0.19
bortZX8p-qQ1X,EDUCATION,F,2500,18.3,1,0.17
PXWRxBa7-qSXJ,HOMEIMPROVEMENT,A,7075,5.99,0,0.07
ERin3X3Q-50wo,PERSONAL,A,7000,13.16,1,0.21
z7k6Cj4a-zNYE,EDUCATION,B,5000,10.0,0,0.09
SK1hwNPA-MMvw,HOMEIMPROVEMENT,A,14000,7.51,0,0.24
F2gQMqwE-rX7D,EDUCATION,A,4900,7.74,0,0.07
TWDIZJCo-H7Hs,PERSONAL,E,7500,,0,0.34
BKnEzbtf-JMs8,DEBTCONSOLIDATION,D,10000,14.96,1,0.07
NOmJYIHF-WdJP,personal,A,10000,5.42,0,0.08
MrghLGX9-7BfA,MEDICAL,A,2300,8.59,0,0.06
KrNpdfac-zuur,VENTURE,B,13000,10.25,0,0.17
UFKBiON8-R2PB,VENTURE,A,5400,6.03,0,0.13
T8XQqmfw-DGbl,personal,A,10000,7.49,0,0.17
ueQNjM7z-t5y1,debtconsolidation,C,6000,12.53,0,0.13
2iLDLHab-oKfo,venture,A,9925,7.29,0,0.09
2RGuJuLp-K3jR,venture,A,10000,5.79,0,0.13
NLWDeK6m-2yAH,DEBTCONSOLIDATION,B,12000,10.99,0,0.13
AmBljMB5-wdqE,MEDICAL,A,9000,8.59,0,0.26
emGPhbT0-0ypq,venture,B,15000,,0,0.11
hLkhE5jJ-6JCT,EDUCATION,A,13000,7.29,0,0.33
R1A84H5L-Lztm,medical,A,9600,8.0,0,0.08
3JARyEvA-hmFa,education,D,11000,,0,0.18
TG5z14rK-vHFr,EDUCATION,A,3150,6.17,0,0.05
hfetxo2D-NEqh,HOMEIMPROVEMENT,B,15000,10.37,0,0.18
OaDbgjk5-KONo,HOMEIMPROVEMENT,A,22500,7.49,0,0.41
T8KYN85Z-6gRt,VENTURE,A,8000,6.03,0,0.13
J4DMR4N4-IWys,medical,B,6000,10.36,0,0.16
A0riyPtF-MFKN,PERSONAL,A,10000,7.49,0,0.24
kMWxOHm4-KQNu,education,C,16000,19.91,1,0.41
LNctSPkW-IW1Q,venture,B,19950,9.96,0,0.17
z7KaxfSB-S4RN,VENTURE,B,12000,11.86,0,0.2
nLthUfYP-yfeW,personal,E,8575,19.42,1,0.31
xpWBLxEN-UAIy,EDUCATION,C,4500,13.43,0,0.11
KuyEuful-KZv1,homeimprovement,D,25000,,1,0.61
b1h4gtf8-W76b,venture,G,20500,20.9,1,0.33
lgWLSPgW-GopO,debtconsolidation,C,24000,13.11,0,0.23
GGrsObLq-JpSW,homeimprovement,C,6000,13.57,0,0.1
2PmkuIHb-0iuY,PERSONAL,A,4000,7.49,0,0.06
yL1ZqUjk-g8ht,debtconsolidation,D,14000,16.02,1,0.19
cUpMKCNt-9Unv,education,A,1000,5.42,0,0.02
vvJ1jI0g-awkq,MEDICAL,B,8000,10.59,0,0.18
GOwbwxKn-TTrF,venture,C,18000,14.22,0,0.26
mgTHGwxR-tCNm,PERSONAL,A,6500,8.49,0,0.07
7JZcCkh2-SJFS,debtconsolidation,D,10000,,1,0.23
Kz3GQalZ-oyuw,education,A,9600,7.51,0,0.14
JLU3Zl2W-bkxn,EDUCATION,D,8000,16.49,0,0.18
4CnXNHPJ-ALmv,MEDICAL,A,5500,7.49,0,0.11
HsPyQnW6-zrJC,personal,E,31000,19.42,0,0.17
zqsMQU7H-x44x,education,D,25000,15.58,0,0.18
yipZT0ZY-JlRZ,EDUCATION,C,8700,12.23,1,0.35
Y2xyynXy-Oesi,EDUCATION,C,7500,11.97,0,0.13
v1xeGtiR-nFHP,PERSONAL,A,6000,6.17,0,0.07
2RHdz0cC-6WdL,medical,B,9000,10.99,0,0.19
KCeyZTHe-YaUI,EDUCATION,B,3000,11.99,1,0.05
8Y9e7ZXH-lUq4,EDUCATION,B,4000,9.76,0,0.13
3tmhQvSf-rDt6,VENTURE,B,20000,12.42,0,0.2
92eHdu3Z-j6Xj,personal,A,21000,,0,0.26
YNZD8tIU-EA5b,HOMEIMPROVEMENT,,4900,8.49,0,0.1
atPBC82I-qtEH,education,A,28000,,0,0.14
XuBx9DP2-aXFz,DEBTCONSOLIDATION,C,17000,12.99,0,0.1
58e0E2ns-yHMX,venture,C,10000,13.11,0,0.2
4ZC0dI17-pPdE,EDUCATION,A,18000,8.49,0,0.35
wNoFUgcz-H52r,MEDICAL,C,18000,12.99,1,0.28
d31j0CUt-rR8L,EDUCATION,B,1600,12.69,0,0.1
icdJUrRL-Yjx4,venture,C,17375,14.27,0,0.36
dmQlGSng-pyQY,,A,1200,14.74,,0.07
RSCQGtcX-yuPz,VENTURE,A,7000,9.32,0,0.14
5iPD70qL-ogHY,VENTURE,B,4000,11.12,1,0.22
IlHulbQp-YO7s,MEDICAL,B,3500,9.99,0,0.07
piZFqymp-eWGA,PERSONAL,D,5500,16.89,0,0.16
oIejMTNf-DpPi,PERSONAL,B,2000,13.8,1,0.06
4gQ0XOth-ojye,education,A,7750,7.66,0,0.18
G1Yyucgb-ScQA,education,A,10500,8.49,0,0.25
2np7Mwsd-C13K,medical,B,17000,8.88,0,0.24
NLNDhHG3-9qDA,education,C,10000,13.16,0,0.22
yn83KnsU-FH3E,EDUCATION,B,20000,11.83,0,0.19
QOc5fRUt-RnWM,MEDICAL,B,5000,,0,0.11
o15pJc88-DHJy,VENTURE,B,10000,9.88,0,0.23
9UbyhKOm-1o70,MEDICAL,B,15000,9.99,1,0.25
TLqfYiYg-1YUt,venture,C,14000,13.16,0,0.27
JqC6itvB-Cuzh,DEBTCONSOLIDATION,A,4500,7.9,0,0.08
ROpQfOPU-Usfa,MEDICAL,D,12000,15.95,1,0.16
ExcyXElJ-tusT,education,A,3125,7.14,0,0.1
UX9NEenc-Uakn,PERSONAL,F,25000,17.9,1,0.34
0aRvZ8EB-WiNq,DEBTCONSOLIDATION,C,15250,11.34,0,0.2
dHp48T27-3sTZ,DEBTCONSOLIDATION,A,9000,7.49,0,0.18
CStSMhui-8RX9,homeimprovement,E,13000,17.93,0,0.24
AN0QPGh8-rz8l,VENTURE,B,1600,10.59,0,0.13
U2GswccU-fUOT,MEDICAL,B,2500,10.37,0,0.07
DomwKJSn-IWbA,homeimprovement,C,15000,12.53,0,0.12
1exFuZSA-fy5Q,VENTURE,B,10000,,0,0.26
xRUG2j4w-IY9f,MEDICAL,A,9000,7.51,0,0.23
HuEISntQ-XFQa,education,A,5500,8.59,0,0.13
lQCLKuLD-1JxX,EDUCATION,B,1800,11.58,0,0.04
M7Z0uUmS-Cn97,medical,A,7500,7.51,0,0.19
5mx6GPM3-EW2H,MEDICAL,A,10000,7.88,0,0.12
oF2IOvyJ-CDmr,debtconsolidation,C,8000,15.23,0,0.15
YFz0aq3B-HaRP,VENTURE,D,12000,16.49,0,0.09
InTFd14E-luBN,MEDICAL,C,14000,13.22,0,0.29
TGQiMFCW-hQSe,MEDICAL,B,4300,11.86,0,0.19
5ykSMGe0-xncz,PERSONAL,A,12300,7.88,0,0.22
yzEbmBCj-tgIi,education,B,15000,10.38,0,0.17
xvYEG3E8-GkeJ,debtconsolidation,A,10400,9.32,0,0.11
sOOy2ZYc-UfLl,debtconsolidation,A,6000,7.4,0,0.07
A3XK6oS1-lJM8,DEBTCONSOLIDATION,A,3800,5.79,0,0.13
HBiq2y3I-Z6hF,medical,B,8000,12.18,1,0.59
JLBAK9KA-0c1S,HOMEIMPROVEMENT,B,15000,10.37,0,0.22
z7o5Wnzi-hJ0H,HOMEIMPROVEMENT,C,6400,11.66,1,0.07
JLEKANjQ-2reP,DEBTCONSOLIDATION,B,5000,11.49,0,0.14
ws6qKj4Q-dsts,personal,B,3000,12.42,0,0.05
GPRp3eH7-SQjb,education,B,10000,10.99,0,0.16
voogG76e-95M6,EDUCATION,B,9000,11.83,0,0.13
WvTyxYeP-Pxco,MEDICAL,,6800,10.37,0,0.1
FIX3j2EP-TWP1,DEBTCONSOLIDATION,A,11350,7.88,0,0.26
6o9TWSLk-63Sx,debtconsolidation,B,16000,10.99,0,0.19
jCtUTz9O-Pw7N,debtconsolidation,A,3200,9.63,0,0.09
QJdaCZ7a-DDd9,VENTURE,D,20000,14.54,0,0.24
rvkyShW9-58ij,venture,A,8000,8.49,0,0.07
BIPF18fU-N5hz,PERSONAL,A,10000,6.92,0,0.15
woa260Ls-acQl,VENTURE,B,6000,11.49,0,0.13
9SbljCSK-zS8d,PERSONAL,B,16000,10.74,0,0.25
jMeq5UXB-5ORZ,medical,A,9000,7.74,0,0.07
tprhEolu-2xkz,EDUCATION,C,15000,13.61,0,0.2
3pyU9Ymg-jJan,DEBTCONSOLIDATION,D,20000,12.61,1,0.63
rKAW9anJ-mcl9,medical,A,5000,7.29,0,0.12
nzKjq1L1-QSL8,VENTURE,A,1200,8.9,0,0.01
6fOOXhXp-PsH5,personal,C,11400,13.79,0,0.18
jUPOAst9-MmGO,EDUCATION,B,5000,9.99,0,0.02
lE4zOMvF-BkwH,venture,A,18000,8.94,0,0.17
n8XWMOLM-6DIj,EDUCATION,C,6000,12.68,0,0.13
pbqwld6r-qL8N,personal,A,9000,7.14,0,0.2
4pvwRLev-bJHm,MEDICAL,C,8000,13.49,0,0.27
DCALsfIg-gHog,personal,B,16000,10.25,0,0.3
6RhXrFkv-ZXm7,MEDICAL,A,8000,7.14,0,0.1
opIqoUMF-JHZu,venture,A,9600,7.49,0,0.17
yOJ5G4ml-7jqF,DEBTCONSOLIDATION,D,7000,12.49,1,0.3
OllpQvFI-6UU6,DEBTCONSOLIDATION,A,3000,,1,0.16
gwrPu4MG-z3pH,MEDICAL,D,10000,17.58,0,0.22
o5M3tk7E-LYuM,PERSONAL,A,3200,7.51,0,0.06
Ud1COuu5-0S5P,EDUCATION,B,3600,11.83,0,0.03
5N8sp1rd-367y,personal,A,18825,7.9,1,0.45
dQNBqxsQ-M6Np,personal,B,20000,11.48,0,0.1
tpinPtxc-sxFX,personal,A,7000,7.66,0,0.09
PjJvwpq6-1ruN,personal,A,15000,7.51,0,
8UZYhWaz-bmtO,medical,A,7000,7.51,0,0.18
OR0YuIoZ-b7c9,education,D,5000,14.96,0,0.16
mqCEuEdG-FRIQ,DEBTCONSOLIDATION,B,3000,9.63,0,0.04
EhPxURyA-U544,MEDICAL,C,3000,,0,0.07
k4Wp6BGm-0Mwc,MEDICAL,B,7200,9.51,0,0.22
QhX5akRZ-BD0B,HOMEIMPROVEMENT,B,4000,12.69,0,0.07
ABWjSiLJ-jgdu,PERSONAL,A,3500,6.03,0,0.05
xl30FpfN-sr5H,personal,E,25000,16.32,0,0.09
LquGeS9B-YAH6,education,D,12000,,,0.27
kP1Sx0Z3-UpRO,medical,C,1200,15.23,0,0.03
m3XaL1dU-vaKP,MEDICAL,A,2400,8.49,0,0.06
phUOQbPJ-ep9X,MEDICAL,B,8500,11.83,0,0.1
L179Qx7f-l58e,EDUCATION,A,8000,6.62,0,0.21
pZTed7EO-KSz8,medical,A,15000,5.99,0,0.16
FLP6m5qA-BkUF,medical,C,2000,14.72,1,0.19
W6Kvypwf-fUDx,venture,C,3000,13.99,0,0.03
0JzYtbLc-XTHl,debtconsolidation,D,11225,13.62,1,0.37
zPmxUX9w-TEvb,debtconsolidation,B,8400,13.72,0,0.07
gvdcolr8-XxFt,VENTURE,A,7000,8.59,0,0.12
cypcnRdr-jlAT,PERSONAL,B,6000,12.21,1,0.14
zg25zIom-9pQR,PERSONAL,B,12000,11.71,0,0.26
O7s4B7Th-9qpT,PERSONAL,B,10000,11.26,0,0.14
2JcY5wmc-fSre,DEBTCONSOLIDATION,B,21000,11.48,0,0.36
6FdZdu1y-OUwO,EDUCATION,A,10400,7.66,0,0.28
RU7x4uf4-MWl8,venture,B,15000,10.62,0,0.05
Ygqmpt6T-aGy0,VENTURE,B,3250,12.42,1,0.2
Jz165DJf-RFM9,VENTURE,A,18000,,0,0.28
lByGhRo3-Rulx,PERSONAL,C,13000,13.61,0,0.1
gc5HJ6QX-hl2p,personal,C,10000,15.96,0,0.16
ka9J1hkm-DwU7,personal,A,3000,9.63,0,0.1
B7qwUmrw-8284,MEDICAL,A,5000,7.74,0,0.13
3x4SuDTo-sFru,MEDICAL,A,2225,7.43,1,0.02
DiItY6Ep-Df4j,DEBTCONSOLIDATION,B,2400,,0,
u4OGMHq5-WINs,personal,B,6400,11.49,0,0.21
ZDtrCfd4-5XEU,venture,A,5000,6.62,0,0.2
PWwF6Bd9-gALg,VENTURE,B,10000,9.99,0,0.2
MxjsXrEo-CgMg,DEBTCONSOLIDATION,B,5425,10.59,1,0.07
QrgTPJmG-KDrG,medical,B,5000,12.69,,
PW84lRrS-Lz6w,DEBTCONSOLIDATION,D,2400,15.99,1,0.08
o9p7Uy95-yFLx,personal,A,2000,5.42,1,0.04
BHuEqDL5-1WY0,MEDICAL,A,6000,9.32,0,0.15
9wjbCJL6-uv3y,education,B,18000,9.91,0,0.45
HQ28wncO-lb4k,MEDICAL,B,2500,11.89,0,0.11
j8dlNDmb-5sW8,MEDICAL,C,10200,13.92,0,0.19
hPUnx2Tb-4TM0,PERSONAL,A,4500,7.66,0,0.11
dxjxBnHs-C5Mh,DEBTCONSOLIDATION,B,15000,9.76,1,0.25
S6euiack-49XK,HOMEIMPROVEMENT,B,5600,,0,0.11
G5t2Lpk8-wdK8,medical,A,3000,7.88,0,0.02
qUEupT38-bJ9e,VENTURE,E,7500,,0,0.34
XCB49gBy-Kqjo,venture,B,4200,11.71,0,0.04
Era2FMiD-N8H9,personal,A,7750,6.17,0,0.14
Kq1cYDq8-FxX0,homeimprovement,B,4000,11.12,0,0.07
Cd6aPiuv-2xC5,medical,A,16000,8.9,0,0.46
l8ItE65E-sWDO,medical,A,5000,8.9,0,0.11
DPvP0jt9-3g7Y,EDUCATION,A,5000,7.51,0,0.1
KjjQsxMu-avoS,MEDICAL,,7200,,1,0.14
3Oc7i9v1-Rg63,medical,B,5000,9.91,0,0.14
PBSq9nx7-ioEM,VENTURE,A,14000,7.29,1,0.42
